"","title","year","topic"
"153","Séance_Liminoïde,_Florencia_Rodriguez_Giles.txt",2016,4
"154","Seven+_UTF8.txt",2016,4
"155","Signature_de_C215.txt",2016,5
"156","Signature_de_Charlie_le_Mindu.txt",2016,2
"157","Signature_de_Soko_Phay+_UTF8.txt",2016,5
"158","Stock.txt",2016,4
"159","The_Big_Toe,_Agnes_Nedregård.txt",2016,5
"160","The_hidden_garden_[Les_Lundis_du_Pavillon].txt",2016,8
"161","The_sentimental_mood_of_the_big_data_[Les_Lundis_du_Pavillon]+_UTF8.txt",2016,8
"162","Une_nuit_au_coeur_de_la_Grotte_Chauvet.txt",2016,5
"163","Utopie_500.txt",2016,2
"164","Yi_King_Operators,_Nicolas_Montgermont,_Jean-François_Blanquet,_Carl_Y_et_RYBN.txt",2016,2
"165","""Aural_Contract"",_Lawrence_Abu_Hamdan+_UTF8.txt",2015,4
"166","""DURO"",_EDDIE_PEAKE+_UTF8.txt",2015,8
"167","""Lectures?"",_Véronique_Hubert+_UTF8.txt",2015,5
"168","ADAHA_2_–_Tianzhuo_Chen.txt",2015,2
"169","ANORAAK_&_AKROE_[ENTRE_DEUX].txt",2015,6
"170","Architectones.txt",2015,3
"171","ART_NOMADE.txt",2015,1
"172","Barbecues.txt",2015,6
"173","Battle4Teens+_UTF8.txt",2015,1
"174","Beginnings_are_so_beautiful_[Les_Lundis_du_Pavillon].txt",2015,8
"175","Bim_Bam_Boom_et_cætera.txt",2015,2
"176","Bookfighting.txt",2015,5
"177","Cléa_Vincent_[ENTRE_DEUX].txt",2015,2
"178","Code_de_Nuit,_Le_Crawl_Calme,_Shrouded_and_the_Dinner.txt",2015,2
"179","Dial-a-poem_:_Appelle_un_poème.txt",2015,2
"180","DO_DISTURB.txt",2015,3
"181","Flavien_Berger_+_Raphaël_Pluvinage_&_Juliette_Gelli_[Entre_Deux].txt",2015,2
"182","François_Marry_(Frànçois_and_The_Atlas_Mountain)_&_Sophie_Salleron_[ENTRE_DEUX].txt",2015,2
"183","GHOSTS_AND_REBELS_IN_THE_SHINY_BOX_[Les_Lundis_du_Pavillon].txt",2015,8
"184","Hommage_à_Anne_Tronche+_UTF8.txt",2015,5
"185","Humain_trop_humain_[Journée_Thématique].txt",2015,6
"186","Hurle_un_Ocean,_nage_avec_le_ciel.txt",2015,6
"187","IN_OCTAVO.txt",2015,6
"188","Initiation_à_la_pratique_de_la_méditation+_UTF8.txt",2015,5
"189","IRO+_UTF8.txt",2015,2
"190","Jacques_[ENTRE_DEUX].txt",2015,2
"191","Je_ne_vois_de_mon_avenir_que_le_mur_de_ma_cuisine_au_papier_peint_défraîchi_-_Les_soeurs_H.txt",2015,3
"192","JEAN-BAPTISTE_LENGLET_[Split:Screen]+_UTF8.txt",2015,3
"193","JEREMY_RIFKIN.txt",2015,5
"194","John_Giorno_Live.txt",2015,2
"195","JULIE_LUZOIR_-_Hospitalités_n°5_[TRAM].txt",2015,4
"196","Karaoke_Art+_UTF8.txt",2015,2
"197","L'Impératrice_[ENTRE_DEUX].txt",2015,2
"198","La_ligne_Maginot.txt",2015,6
"199","La_Nuit_des_Musées_2015.txt",2015,1
"200","Légers_décalages_[Journée_Thématique].txt",2015,6
"201","Les_Nuits_Claires.txt",2015,8
"202","Lunes_Révolues.txt",2015,8
"203","Malena_Beer.txt",2015,4
"204","MATHÉMATIQUES_EXISTENTIELLES.txt",2015,7
"205","Meet_a_curator_#3.txt",2015,8
"206","Meet_a_curator_#4.txt",2015,8
"207","NOËL_DOLLA.txt",2015,5
"208","Nova_[Mix]_Club_#4.txt",2015,2
"209","Nova_[Mix]_Club_#5.txt",2015,2
"210","NOVA_[MIX]_CLUB_#6.txt",2015,2
"211","NOVA_[MIX]_CLUB_#7.txt",2015,2
"212","NOVA_[MIX]_CLUB_#8.txt",2015,2
"213","Nuit_des_danses_perdues_[Les_Lundis_du_Pavillon].txt",2015,8
"214","Palaisrama_avec_invité_-_Textures_capillaires_et_salon_de_coiffure.txt",2015,1
"215","PECHA_KUCHA.txt",2015,5
"216","Psalmodies_Elliptiques.txt",2015,4
"217","RONE_Creatures_&_Cie.txt",2015,2
"218","Scellement_de_l’ombre.txt",2015,6
"219","Signature_de_Larry_Clark.txt",2015,5
"220","Sister_Ship.txt",2015,4
"221","Static_Observer_[ENTRE_DEUX]+_UTF8.txt",2015,2
"222","Super_Mantique_[Les_Lundis_du_Pavillon]+_UTF8.txt",2015,8
"223","THE_POWER_OF_IMPERMANENCE_[Les_Lundis_du_Pavillon].txt",2015,8
"224","The_Way_of_the_rabbit_-_la_danse_perdue_[COMPLET].txt",2015,8
"225","Tout_homme_est_un_artiste.txt",2015,5
"226","TURPENTINE_III_–_SOIRÉE_FORMULA_:_JONATHAN_MARTIN.txt",2015,5
"227","Vernissage_Archipel_secret.txt",2015,2
"228","Von_Calhau+_UTF8.txt",2015,3
"229","Yury_Toroptsov.txt",2015,5
"230","""De_nombreuses_réclamations_sont_parvenues_à_l'_empereur..."".txt",2014,6
"231","« Le_Rendez-Vous »_de_Laurent_Goumarre.txt",2014,3
"232","Abdelkader_Benchamma.txt",2014,5
"233","About_“Mocking”_the_Institution(s),_and_some_Other_Esthetic_Manipulations_of_the_Real.txt",2014,6
"234","André_Borges.txt",2014,4
"235","Anniversaire_de_l'Art.txt",2014,2
"236","Architectures_imaginaires_l’espace_en_construction.txt",2014,4
"237","Atelier_Mur_végétalisé_avec_Horticulture_&_Jardins_#2.txt",2014,1
"238","Atelier_Mur_végétalisé_avec_Horticulture_&_Jardins_#3.txt",2014,1
"239","Atelier_Mur_végétalisé_avec_Horticulture_&_Jardins.txt",2014,1
"240","Banlieue_is_Beautiful.txt",2014,3
"241","Before_-_Code_de_nuit.txt",2014,4
"242","CANAL+_XAVIER_VEILHAN_-_PROGRAMMATION_VIVANTE.txt",2014,3
"243","Carré_d'art_-_Walid_Raad_:_Fahd_Burki.txt",2014,5
"244","CHARDON.txt",2014,2
"245","Chroniques_martiennes.txt",2014,6
"246","Cocorosie.txt",2014,5
"247","Conférence_autour_du_thème_de_la_lamentation_au_cinéma.txt",2014,5
"248","Dans_la_peau_de_l’Ours.txt",2014,4
"249","Défilé_du_29_ème_Festival_International_de_Mode_et_de_Photographie_à_Hyères.txt",2014,3
"250","Dirty_Dancing_invite_AMBIVALENT,_HEARTTHROB,_NHAR_&_REMAIN.txt",2014,8
"251","Don't_you_know_you're_gonna_mess_up_the_carpet.txt",2014,4
"252","DRAWING_NIGHT.txt",2014,8
"253","EFFLUVE_ET_DISPARATE.txt",2014,5
"254","Emmanuelle_Kant.txt",2014,5
"255","Emo_de_Medeiros.txt",2014,4
"256","Erwin_Olaf.txt",2014,5
"257","Festival_Anemic_Cinéchat.txt",2014,5
"258","Festival_Côté_Court_-_2014.txt",2014,3
"259","Field_day_Paris.txt",2014,8
"260","Fondation_Cartier_-_Mémoires_vives.txt",2014,1
"261","Forum_du_Vivre_ensemble_2014.txt",2014,1
"262","Grand_atelier_Canal+Xavier_Veilhan.txt",2014,1
"263","HAIKU_#5.txt",2014,8
"264","Haïku_#6_-_The_Martinez_Brothers.txt",2014,8
"265","Haïku_#7.txt",2014,8
"266","Half_of_what_you_see,_none_of_what_you_hear.txt",2014,4
"267","Hans_Berg.txt",2014,4
"268","Holy_water_ice_cubes.txt",2014,4
"269","Hors-les-murs_MOMA_PS1.txt",2014,1
"270","INSIDE_:_OUTSIDE.txt",2014,4
"271","INSIDE_CHINA_[Journées_Thématiques].txt",2014,2
"272","INSIDE_OUT_:_OUTSIDE_IN_méli-mélo_anatomique.txt",2014,4
"273","Intime_et_personnel.txt",2014,4
"274","John_Giorno_et_A_K_Dolven.txt",2014,2
"275","Kaleidscope_Press+_UTF8.txt",2014,3
"276","KEIICHIRO_SHIBUYA.txt",2014,8
"277","Kemosabe.txt",2014,4
"278","Kerwin_Rolland.txt",2014,2
"279","Kitsuné_Club_Night.txt",2014,8
"280","L’art_du_Mont(r)age_de_Jean-Jacques_Lebel.txt",2014,5
"281","La_Cinémathèque_Française_-_Amos_Gitai.txt",2014,1
"282","La_machine_à_explorer_l’espace.txt",2014,1
"283","La_Poésie.txt",2014,4
"284","Le_mariage_du_Ciel_et_de_l’Enfer,_Nicolas_Bouyssi_invite_Sarah_Blum.txt",2014,5
"285","Lecture_des_«_Entretiens_avec_Marguerite_Duras_».txt",2014,5
"286","Lucky_Star_#5.txt",2014,8
"287","Marvin_Gaye_30_ans_déjà_!.txt",2014,8
"288","Maya_Dunietz+_UTF8.txt",2014,2
"289","MellaNoisEscape_(Olivier_Mellano).txt",2014,2
"290","Mix_""Locked_Groove_Only"".txt",2014,2
"291","Monographie_de_Catherine_Melin.txt",2014,5
"292","Mouvement_sur_Mouvement.txt",2014,4
"293","NIGHT_OF_THE_TUMBLR_ON_FIRE.txt",2014,3
"294","Nouveaux_commanditaires.txt",2014,6
"295","Nova_[Mix]_Club_#1.txt",2014,2
"296","Nova_[Mix]_Club_#2.txt",2014,2
"297","Nova_[Mix]_Club_#3+_UTF8.txt",2014,2
"298","Now_I_See_#2.txt",2014,8
"299","Now_I_See_#3.txt",2014,8
"300","Now_I_See_#4.txt",2014,8
"301","NSIDE_OUT_:_OUTSIDE_IN_méli-mélo_anatomique.txt",2014,4
"302","Nuovo_Mondo.txt",2014,2
"303","Palais_de_Glass.txt",2014,2
"304","Paysages_sonores.txt",2014,4
"305","PEDRO_WINTER_VS._CUT_KILLER.txt",2014,8
